date,campaign_id,campaign_name,placement,impressions,clicks,cost,orders,sales,ctr,cpc,cvr,acos,roas,zero_sales_spend_flag
2020-02-01,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,First page Top of Search on Amazon,29,0,0.0,0,0.0,0.0,,,,,False
2020-02-09,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Rest of search on Amazon,2267,19,17.96421052631579,0,0.0,0.008381120423467137,0.9454847645429363,0.0,,0.0,True
2020-02-10,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,First page Top of Search on Amazon,41,1,7.48,0,0.0,0.024390243902439025,7.48,0.0,,0.0,True
2020-02-10,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Product pages on Amazon,1681,1,10.52,0,0.0,0.000594883997620464,10.52,0.0,,0.0,True
2020-02-10,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Rest of search on Amazon,67,1,9.19,0,0.0,0.014925373134328358,9.19,0.0,,0.0,True
2020-02-10,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,First page Top of Search on Amazon,133,5,40.75,0,0.0,0.03759398496240601,8.15,0.0,,0.0,True
2020-02-10,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Product pages on Amazon,2259,2,19.665,0,0.0,0.0008853474988933156,9.8325,0.0,,0.0,True
2020-02-10,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Rest of search on Amazon,346,4,29.1625,0,0.0,0.011560693641618497,7.290625,0.0,,0.0,True
2020-02-10,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,First page Top of Search on Amazon,106,6,5.578333333333333,3,961.62,0.05660377358490566,0.9297222222222222,0.5,0.005800974744008374,172.38482222886168,False
2020-02-10,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Product pages on Amazon,439,1,27.4,0,0.0,0.002277904328018223,27.4,0.0,,0.0,True
2020-02-10,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Rest of search on Amazon,39,0,0.0,0,0.0,0.0,,,,,False
2020-02-10,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,First page Top of Search on Amazon,61,5,1.074,1,388.14,0.08196721311475409,0.21480000000000002,0.2,0.002767042819601175,361.3966480446927,False
2020-02-10,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Product pages on Amazon,1842,4,24.9175,0,0.0,0.002171552660152009,6.229375,0.0,,0.0,True
2020-02-10,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,Rest of search on Amazon,1863,10,19.19,0,0.0,0.005367686527106817,1.919,0.0,,0.0,True
2020-02-11,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,First page Top of Search on Amazon,33,0,0.0,0,0.0,0.0,,,,,False
2020-02-11,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Product pages on Amazon,1592,0,0.0,0,0.0,0.0,,,,,False
2020-02-11,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Pain Relief Oil || SP || Automatic || 22nd Nov'19,Rest of search on Amazon,73,1,9.12,0,0.0,0.0136986301369863,9.12,0.0,,0.0,True
2020-02-11,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,First page Top of Search on Amazon,121,3,25.820000000000004,1,320.54,0.024793388429752067,8.606666666666667,0.3333333333333333,0.08055156922692956,12.414407436096049,False
2020-02-11,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Product pages on Amazon,2102,6,36.56333333333333,0,0.0,0.0028544243577545195,6.0938888888888885,0.0,,0.0,True
2020-02-11,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,Rest of search on Amazon,277,1,18.19,0,0.0,0.0036101083032490976,18.19,0.0,,0.0,True
2020-02-11,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,First page Top of Search on Amazon,101,11,3.6454545454545455,2,641.08,0.10891089108910891,0.33140495867768593,0.18181818181818182,0.005686426881909505,175.85735660847882,False
2020-02-11,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Product pages on Amazon,407,0,0.0,0,0.0,0.0,,,,,False
2020-02-11,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,Rest of search on Amazon,37,0,0.0,0,0.0,0.0,,,,,False
