date,campaign_id,campaign_name,search_term,impressions,clicks,cost,orders,sales,ctr,cpc,cvr,acos,roas,zero_sales_spend_flag
2020-02-26,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,hair oils,2021,6,45.83833333333333,0,0.0,0.0029688273132112814,7.639722222222222,0.0,,0.0,True
2020-02-26,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,khadi bhringraj oil for hair growth,10,1,25.95,0,0.0,0.1,25.95,0.0,,0.0,True
2020-02-26,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,on & on bhringraj hair oil,3,1,34.34,0,0.0,0.3333333333333333,34.34,0.0,,0.0,True
2020-02-26,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,on in on hair oil,6,1,55.69,0,0.0,0.16666666666666666,55.69,0.0,,0.0,True
2020-02-26,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,sri sri bhringraj hair oil,2,1,21.28,0,0.0,0.5,21.28,0.0,,0.0,True
2020-02-26,Hair Oil || SP || Generic || 21st feb'20,Hair Oil || SP || Generic || 21st feb'20,vitamin e oil for hair,51,1,26.89,0,0.0,0.0196078431372549,26.89,0.0,,0.0,True
2020-02-26,Hair Oil || SP|| Automatic || 17th Feb'20,Hair Oil || SP|| Automatic || 17th Feb'20,b00zty85bi,3,1,27.8,0,0.0,0.3333333333333333,27.8,0.0,,0.0,True
2020-02-26,Hair Oil || SP|| Automatic || 17th Feb'20,Hair Oil || SP|| Automatic || 17th Feb'20,b07t9sjyl6,103,1,26.87,0,0.0,0.009708737864077669,26.87,0.0,,0.0,True
2020-02-26,Hair Oil || SP|| Automatic || 17th Feb'20,Hair Oil || SP|| Automatic || 17th Feb'20,brahmi oil,60,2,27.475,0,0.0,0.03333333333333333,13.7375,0.0,,0.0,True
2020-02-26,Hair Oil || SP|| Automatic || 17th Feb'20,Hair Oil || SP|| Automatic || 17th Feb'20,hair care,140,1,43.26,0,0.0,0.007142857142857143,43.26,0.0,,0.0,True
2020-02-26,Hair Oil || SP|| Automatic || 17th Feb'20,Hair Oil || SP|| Automatic || 17th Feb'20,hair fall oil,95,1,46.03,0,0.0,0.010526315789473684,46.03,0.0,,0.0,True
2020-02-26,Hair Oil || SP|| Automatic || 17th Feb'20,Hair Oil || SP|| Automatic || 17th Feb'20,hair oil to prevent hair fall,3,1,25.65,0,0.0,0.3333333333333333,25.65,0.0,,0.0,True
2020-02-26,Hair Oil || SP|| Automatic || 17th Feb'20,Hair Oil || SP|| Automatic || 17th Feb'20,oil for dandruff and hair fall,5,1,29.24,0,0.0,0.2,29.24,0.0,,0.0,True
2020-02-26,Hair Oil || SP|| Automatic || 17th Feb'20,Hair Oil || SP|| Automatic || 17th Feb'20,on &on hair fall oil,2,1,40.07,0,0.0,0.5,40.07,0.0,,0.0,True
2020-02-26,Hair Oil || SP|| Automatic || 17th Feb'20,Hair Oil || SP|| Automatic || 17th Feb'20,vitamin a oil,8,1,27.98,0,0.0,0.125,27.98,0.0,,0.0,True
2020-02-26,Night Cream || SP || Automatic || 22nd Nov'19,Night Cream || SP || Automatic || 22nd Nov'19,b07nql1n1h,5,1,16.7,0,0.0,0.2,16.7,0.0,,0.0,True
2020-02-26,Night Cream || SP || Automatic || 22nd Nov'19,Night Cream || SP || Automatic || 22nd Nov'19,cream for women,197,1,17.4,0,0.0,0.005076142131979695,17.4,0.0,,0.0,True
2020-02-26,Night Cream || SP || Generic || 24th Nov'19,Night Cream || SP || Generic || 24th Nov'19,anti aging cream,62,1,32.84,0,0.0,0.016129032258064516,32.84,0.0,,0.0,True
2020-02-26,Night Cream || SP || Generic || 24th Nov'19,Night Cream || SP || Generic || 24th Nov'19,evver night cream,3,1,73.62,0,0.0,0.3333333333333333,73.62,0.0,,0.0,True
2020-02-26,Night Cream || SP || Generic || 24th Nov'19,Night Cream || SP || Generic || 24th Nov'19,night creams,373,1,9.32,0,0.0,0.002680965147453083,9.32,0.0,,0.0,True
2020-02-26,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,back pain oils,72,1,26.95,0,0.0,0.013888888888888888,26.95,0.0,,0.0,True
2020-02-26,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,body pain oil,6,1,24.2,0,0.0,0.16666666666666666,24.2,0.0,,0.0,True
2020-02-26,Pain relief Oil || SP || Generic || 22nd Nov'19,Pain relief Oil || SP || Generic || 22nd Nov'19,old pain oil,1,1,9.52,0,0.0,1.0,9.52,0.0,,0.0,True
2020-02-26,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,joint pain relief medicines,1,1,31.96,0,0.0,1.0,31.96,0.0,,0.0,True
2020-02-26,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,rhuval oil,29,10,1.402,2,605.36,0.3448275862068966,0.1402,0.2,0.0023159772697238005,431.7831669044223,False
2020-02-26,Pain relief Oil || SP || Generic-New || 18th Jan'19,Pain relief Oil || SP || Generic-New || 18th Jan'19,rhuval oil for joint pain,3,2,3.105,0,0.0,0.6666666666666666,1.5525,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Automatic || 22nd Nov'19,Sunscreen || SP || Automatic || 22nd Nov'19,sunscreen lotion,62,1,10.66,0,0.0,0.016129032258064516,10.66,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,biotique sandalwood sunscreen spf 50,17,1,20.32,0,0.0,0.058823529411764705,20.32,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,biotique sunscreen spf 50 sandalwood,67,1,25.53,0,0.0,0.014925373134328358,25.53,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,cetaphil sunscreen spf 50,211,2,25.925,0,0.0,0.009478672985781991,12.9625,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,evver sunscreen,2,2,1.155,1,295.76,1.0,0.5775,0.5,0.0039051934000540983,256.0692640692641,False
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,good vibes sunscreen spf 50,31,1,30.61,0,0.0,0.03225806451612903,30.61,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,khadi sunscreen spf 50 pa+++,5,1,22.58,0,0.0,0.2,22.58,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,lotus sunscreen spf 50 matte gel 50g,255,1,21.09,0,0.0,0.00392156862745098,21.09,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,mamaearth sunscreen spf 50,213,2,23.41,0,0.0,0.009389671361502348,11.705,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,neutrogena sunscreen spf 50,283,3,23.25,0,0.0,0.01060070671378092,7.75,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,physical sunscreen spf 50,2,1,23.26,1,295.76,0.5,23.26,1.0,0.07864484717338384,12.715391229578675,False
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,plum sunscreen spf 50,57,1,24.25,0,0.0,0.017543859649122806,24.25,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,reef sunscreen spf 50,4,1,29.49,0,0.0,0.25,29.49,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,solasafe sunscreen spf 50 gel,750,2,16.76,0,0.0,0.0026666666666666666,8.38,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,sunblock sunscreen spf 50,2,1,27.38,0,0.0,0.5,27.38,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,sungrace sunscreen spf 50,7,1,20.55,0,0.0,0.14285714285714285,20.55,0.0,,0.0,True
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,sunscreen,9744,16,28.095,1,295.76,0.0016420361247947454,1.7559375,0.0625,0.09499256153638085,10.527140060508987,False
2020-02-26,Sunscreen || SP || Generic || 24th Nov'19,Sunscreen || SP || Generic || 24th Nov'19,uv doux sunscreen spf 50,25,1,29.0,0,0.0,0.04,29.0,0.0,,0.0,True
