date,campaign_id,campaign_name,search_term,impressions,clicks,cost,orders,sales
2025-11-05,B087QTGP1D - M. Complex Supplement - Non Branded - Scaling - Cambria  - Expanded ASIN - 2,B087QTGP1D - M. Complex Supplement - Non Branded - Scaling - Cambria  - Expanded ASIN - 2,b09kq4xn95,2,1,1.25,0,0.0
2025-11-05,B087QTGP1D - Mushroom Complex - *mushroom supplements* - Exact - Ranking -  Main Keywords - SKC- Cambria,B087QTGP1D - Mushroom Complex - *mushroom supplements* - Exact - Ranking -  Main Keywords - SKC- Cambria,mushroom supplement,52,4,15.81,2,45.98
2025-11-05,B08HMCY7Y5 (BERBERINE) - SP - EXACT 1,B08HMCY7Y5 (BERBERINE) - SP - EXACT 1,berberine 500mg,90,1,2.34,0,0.0
2025-11-05,B08HMCY7Y5 (BERBERINE) - SP - KWG: BERBERINE / SUPPLEMENT SKC 'BERBERINE SUPPLEMENT',B08HMCY7Y5 (BERBERINE) - SP - KWG: BERBERINE / SUPPLEMENT SKC 'BERBERINE SUPPLEMENT',berberine supplement,36,8,27.83,0,0.0
2025-11-05,B08HMCY7Y5 (BERBERINE) - SP - KWG: BERBERINE SKC 'BERBERINE',B08HMCY7Y5 (BERBERINE) - SP - KWG: BERBERINE SKC 'BERBERINE',berberine,73,6,19.81,1,24.99
2025-11-05,B08HMCY7Y5 (BERBERINE) - SP - LOW BID PRODUCT,B08HMCY7Y5 (BERBERINE) - SP - LOW BID PRODUCT,b0083v8ub4,116,1,3.22,0,0.0
2025-11-05,B08HMCY7Y5 (BERBERINE) - SP - PRODUCT 1,B08HMCY7Y5 (BERBERINE) - SP - PRODUCT 1,b07x4b7qfm,5,1,1.2,0,0.0
2025-11-05,B08HMCY7Y5 (BERBERINE) - SP - PRODUCT 1,B08HMCY7Y5 (BERBERINE) - SP - PRODUCT 1,b0cbb1h324,153,3,6.33,0,0.0
2025-11-05,B08HMCY7Y5 (BERBERINE) - SP - PRODUCT 1,B08HMCY7Y5 (BERBERINE) - SP - PRODUCT 1,b0cd8pv49d,311,2,4.57,0,0.0
2025-11-05,B08HMCY7Y5 (Berberine) - SP - PHRASE,B08HMCY7Y5 (Berberine) - SP - PHRASE,97% purity berberine for weight management vita up,1,1,0.81,1,24.99
2025-11-05,B08HMCY7Y5 (Berberine) - SP - PHRASE,B08HMCY7Y5 (Berberine) - SP - PHRASE,berberine patches,47,1,1.63,0,0.0
2025-11-05,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Broad - 1,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Broad - 1,berberine,12,2,2.8,0,0.0
2025-11-05,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Broad - 2,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Broad - 2,designs for health berberine,4,1,1.56,0,0.0
2025-11-05,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Broad - 5,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Broad - 5,berberine supplement weight loss,114,1,2.2,1,24.99
2025-11-05,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Broad - 6,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Broad - 6,berberine organic supplement,37,2,4.4,0,0.0
2025-11-05,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Broad - 6,B08HMCY7Y5 - Berberine  - Non Branded - ST - SD - Scaling - Cambria  - Broad - 6,best berberine for weight loss,1,1,2.2,0,0.0
